stock,sample_count,before_gap_samples,after_gap_samples,inferred_denominator,denominator_min,denominator_max,denominator_abs_spread,denominator_rel_spread,db_max_adj,db_max_minus_inferred,db_max_matches_inferred,planned_factor_min,planned_factor_max
300391.SZ,34,14,20,3.7862999301318614,3.7862999301318614,3.7862999301318614,0.0,0.0,3.7863,6.986813883003151e-08,True,0.9999207854270935,0.9999207854270935
300393.SZ,28,14,14,6.3099,6.3099,6.3099,0.0,0.0,6.3099,0.0,True,1.0,1.0
300394.SZ,28,14,14,9.92049988622005,9.92049988622005,9.92049988622005,0.0,0.0,9.9205,1.1377995079442371e-07,True,0.9972178936004639,0.9972178936004639
300395.SZ,33,14,19,7.2401,7.2401,7.2401,0.0,0.0,7.2401,0.0,True,1.0,1.0
300396.SZ,28,14,14,5.2872,5.2872,5.2872,0.0,0.0,5.2872,0.0,True,1.0,1.0
300397.SZ,34,14,20,3.61,3.61,3.61,0.0,0.0,3.61,0.0,True,1.0,1.0
300398.SZ,33,14,19,5.687499858138395,5.687499858138395,5.687500134612315,2.76473920202136e-07,4.861080036890412e-08,5.6875,1.4186160512963397e-07,True,0.9982593655586243,0.9982593655586243
300399.SZ,33,14,19,2.5081,2.5081,2.5081,0.0,0.0,2.5081,0.0,True,1.0,1.0
300400.SZ,33,14,19,3.396799964950153,3.396799964950153,3.396799964950153,0.0,0.0,3.3968,3.5049847024737346e-08,True,0.9822480082511902,0.9822480082511902
300401.SZ,28,14,14,5.3171,5.3171,5.3171,0.0,0.0,5.3171,0.0,True,1.0,1.0
300402.SZ,33,14,19,1.0639000154790927,1.0639,1.0639000154790927,1.547909267429759e-08,1.4549386642622694e-08,1.0639,-1.547909267429759e-08,True,0.9953942894935608,0.9953942894935608
300403.SZ,33,14,19,6.101100174945367,6.101100174945367,6.101100174945367,0.0,0.0,6.1011,-1.7494536752593604e-07,True,0.9969349503517151,0.9969349503517151
300404.SZ,33,14,19,4.7697998745013,4.7697998745013,4.7698,1.254987003207475e-07,2.6311103950429127e-08,4.7698,1.254987003207475e-07,True,0.9989936947822571,0.9989936947822571
300405.SZ,34,14,20,3.836099919776019,3.836099919776019,3.836099919776019,0.0,0.0,3.8361,8.022398123586072e-08,True,0.9999739527702332,0.9999739527702332
300406.SZ,33,14,19,4.628899997601641,4.628899997601641,4.628899997601641,0.0,0.0,4.6289,2.3983588448572846e-09,True,0.9642679691314697,0.9642679691314697
300407.SZ,33,14,19,4.2387,4.2387,4.238700067791495,6.779149508417959e-08,1.599346381772232e-08,4.2387,0.0,True,1.0,1.0
300408.SZ,33,14,19,4.4336,4.4336,4.433600009264138,9.264137901254799e-09,2.089529479712829e-09,4.4336,0.0,True,1.0,1.0
