stock,date,db_rows,db_close_rows,qlib_close_rows,qlib_close_non_null,qlib_close_file_exists,qlib_close_bin
000503.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000503.sz/close.1min.bin
000504.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000504.sz/close.1min.bin
000505.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000505.sz/close.1min.bin
000506.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000506.sz/close.1min.bin
000507.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000507.sz/close.1min.bin
000509.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000509.sz/close.1min.bin
000516.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000516.sz/close.1min.bin
000521.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000521.sz/close.1min.bin
000523.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000523.sz/close.1min.bin
000525.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000525.sz/close.1min.bin
000526.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000526.sz/close.1min.bin
000531.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000531.sz/close.1min.bin
000534.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000534.sz/close.1min.bin
000536.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000536.sz/close.1min.bin
000537.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000537.sz/close.1min.bin
000538.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000538.sz/close.1min.bin
